playerID,Years_Batted,totGB,totRB,totHB,tot2B,tot3B,totHRB,totSOB,Years_Pitched,totGP,totRP,totHP,totW,totL,totHRP,totSOP,totIPOuts,totER,totBB,Years_Fielded,totGF,totA,totPO,totE,totDP,totPB,totCS,totInnOuts,totSB,debut,finalGame,deathYear,inducted
alexape01,20,710,155,379,60,13,11,279,20,703,1869,4904,376,210,167,2227,15699,1493,963,20,704,1434,191,26,51,0,3,129,2,1911-04-15,1930-05-28,1950,1
aaronha01,23,3315,2185,3796,628,99,761,1396,0,0,0,0,0,0,0,0,0,0,0,23,3038,430,7467,144,218,0,0,78866,0,1954-04-13,1976-10-03,,1
alomaro01,17,2437,1540,2796,521,81,214,1172,0,0,0,0,0,0,0,0,0,0,0,17,2383,6691,4578,190,1441,0,0,61284,0,1988-04-22,2004-09-05,,1
allisdo01,10,318,236,381,43,10,2,40,1,1,5,11,0,0,0,0,15,1,1,10,344,270,1317,238,24,52,0,0,0,1871-05-05,1883-07-13,1916,0
adamsba01,19,486,79,216,31,15,3,178,19,486,1134,2861,197,140,70,1047,9070,921,436,19,486,653,58,17,17,0,1,84,3,1906-04-18,1926-08-11,1968,0
altroni01,19,232,52,98,9,1,2,1,16,220,606,1466,84,76,17,430,4596,447,274,17,229,621,187,31,24,0,2,54,1,1898-07-14,1933-10-01,1965,0
allenjo02,13,369,82,124,12,3,4,155,13,356,928,1855,142,75,105,1070,5864,816,741,13,356,366,104,21,24,0,1,13,0,1932-04-19,1944-09-26,1959,0
adamsbo03,14,1281,591,1082,188,49,37,447,0,0,0,0,0,0,0,0,0,0,0,14,1066,2262,1748,158,371,0,0,6022,0,1946-04-16,1959-04-22,1997,0
ageeto01,12,1137,563,1007,171,27,133,928,0,0,0,0,0,0,0,0,0,0,0,12,1081,53,2399,61,18,0,0,26681,0,1962-09-14,1973-09-30,2001,0
alouma01,15,1688,785,1793,242,50,31,381,1,1,0,3,0,0,0,3,6,0,1,15,1500,177,3821,72,156,0,0,36110,0,1960-09-26,1974-06-21,2011,0
akerja01,11,496,3,7,2,0,0,51,11,495,312,679,47,45,64,404,2238,272,274,11,495,167,65,8,20,0,0,2239,0,1964-05-03,1974-09-27,,0
alouje01,15,1393,448,1222,171,26,32,269,0,0,0,0,0,0,0,0,0,0,0,15,1057,63,1698,58,16,0,0,25217,0,1963-09-10,1979-09-29,,0
alexado01,19,568,19,44,8,0,0,77,19,567,1569,3418,194,179,331,1544,10190,1433,984,19,567,525,266,32,38,0,0,10190,0,1971-06-26,1989-09-27,,0
abbotji01,10,263,0,2,0,0,0,10,10,263,880,1779,87,108,154,888,5022,791,620,10,263,300,72,9,16,0,0,5022,0,1989-04-08,1999-07-21,,0
aguilri01,16,752,12,28,3,0,3,38,16,747,576,1256,88,82,140,1047,3946,519,357,16,747,179,100,5,9,0,0,3946,0,1985-06-12,2000-09-06,,0
